年份,科目,地区,状态,范围,卷型,来源文件,建议Repo路径,文件数
2008,语文,辽宁,missing,missing,,,,0
2008,语文,安徽,missing,missing,,,,0
2008,语文,福建,missing,missing,,,,0
2008,语文,江西,missing,missing,,,,0
2008,语文,湖北,missing,missing,,,,0
2008,语文,重庆,missing,missing,,,,0
2008,数学,安徽,missing,missing,,,,0
2008,数学,福建,missing,missing,,,,0
2008,数学,湖北,missing,missing,,,,0
2008,数学,重庆,missing,missing,,,,0
2008,英语,辽宁,missing,missing,,,,0
2008,英语,安徽,missing,missing,,,,0
2008,英语,福建,missing,missing,,,,0
2008,英语,江西,missing,missing,,,,0
2008,英语,湖北,missing,missing,,,,0
2008,英语,重庆,missing,missing,,,,0
2008,物理,辽宁,missing,missing,,,,0
2008,物理,安徽,missing,missing,,,,0
2008,物理,福建,missing,missing,,,,0
2008,物理,重庆,missing,missing,,,,0
2008,物理,宁夏,missing,missing,,,,0
2008,化学,辽宁,missing,missing,,,,0
2008,化学,安徽,missing,missing,,,,0
2008,化学,福建,missing,missing,,,,0
2008,化学,重庆,missing,missing,,,,0
2008,化学,宁夏,missing,missing,,,,0
2008,生物,辽宁,missing,missing,,,,0
2008,生物,安徽,missing,missing,,,,0
2008,生物,福建,missing,missing,,,,0
2008,生物,重庆,missing,missing,,,,0
2008,生物,宁夏,missing,missing,,,,0
2008,政治,辽宁,missing,missing,,,,0
2008,政治,安徽,missing,missing,,,,0
2008,政治,福建,missing,missing,,,,0
2008,政治,重庆,missing,missing,,,,0
2008,政治,宁夏,missing,missing,,,,0
2008,历史,辽宁,missing,missing,,,,0
2008,历史,安徽,missing,missing,,,,0
2008,历史,福建,missing,missing,,,,0
2008,历史,重庆,missing,missing,,,,0
2008,历史,宁夏,missing,missing,,,,0
2008,地理,辽宁,missing,missing,,,,0
2008,地理,安徽,missing,missing,,,,0
2008,地理,福建,missing,missing,,,,0
2008,地理,重庆,missing,missing,,,,0
2008,地理,宁夏,missing,missing,,,,0
2009,语文,辽宁,missing,missing,,,,0
2009,语文,安徽,missing,missing,,,,0
2009,语文,福建,missing,missing,,,,0
2009,语文,江西,missing,missing,,,,0
2009,语文,湖北,missing,missing,,,,0
2009,语文,重庆,missing,missing,,,,0
2009,数学,安徽,missing,missing,,,,0
2009,数学,福建,missing,missing,,,,0
2009,数学,湖北,missing,missing,,,,0
2009,数学,重庆,missing,missing,,,,0
2009,英语,辽宁,missing,missing,,,,0
2009,英语,安徽,missing,missing,,,,0
