year,subject,region,scope,paper_type,status,ext,source_path,source_group,note
2008,语文,北京,local,北京卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（北京）语文高考真题\2008年高考语文试卷（北京）（空白卷）.pdf,2008-2024_by_province,
2008,语文,北京,local,北京卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（北京）语文高考真题\2008年高考语文试卷（北京）（解析卷）.pdf,2008-2024_by_province,
2008,语文,天津,local,天津卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2023·（天津）语文高考真题\2008年高考语文试卷（天津）（空白卷） .pdf,2008-2024_by_province,
2008,语文,天津,local,天津卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2023·（天津）语文高考真题\2008年高考语文试卷（天津）（解析卷）.pdf,2008-2024_by_province,
2008,语文,河北,common,全国I卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（河北）语文高考真题\2008年高考语文试卷（全国Ⅰ卷）（空白卷）.pdf,2008-2024_by_province,
2008,语文,河北,common,全国I卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（河北）语文高考真题\2008年高考语文试卷（全国Ⅰ卷）（解析卷）.pdf,2008-2024_by_province,
2008,语文,山西,common,全国I卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（山西）语文高考真题\2008年高考语文试卷（全国Ⅰ卷）（空白卷）.pdf,2008-2024_by_province,
2008,语文,山西,common,全国I卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（山西）语文高考真题\2008年高考语文试卷（全国Ⅰ卷）（解析卷）.pdf,2008-2024_by_province,
2008,语文,内蒙古,common,全国II卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（内蒙古）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,2008-2024_by_province,
2008,语文,内蒙古,common,全国II卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（内蒙古）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（解析卷）.pdf,2008-2024_by_province,
2008,语文,吉林,common,全国II卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（吉林）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,2008-2024_by_province,
2008,语文,吉林,common,全国II卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（吉林）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（解析卷）.pdf,2008-2024_by_province,
2008,语文,黑龙江,common,全国II卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（黑龙江）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,2008-2024_by_province,
2008,语文,黑龙江,common,全国II卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（黑龙江）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（解析卷）.pdf,2008-2024_by_province,
2008,语文,上海,local,上海卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2023·（上海）语文高考真题\2008年高考语文试卷（上海）（秋考）（空白卷）.pdf,2008-2024_by_province,
2008,语文,上海,local,上海卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2023·（上海）语文高考真题\2008年高考语文试卷（上海）（秋考）（解析卷）.pdf,2008-2024_by_province,
2008,语文,江苏,local,江苏卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（江苏）语文高考真题\2008年高考语文试卷（江苏）（空白卷）.pdf,2008-2024_by_province,
2008,语文,江苏,local,江苏卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（江苏）语文高考真题\2008年高考语文试卷（江苏）（解析卷）.pdf,2008-2024_by_province,
2008,语文,浙江,local,浙江卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（浙江）语文高考真题\2008年高考语文试卷（浙江）（空白卷）.pdf,2008-2024_by_province,
2008,语文,浙江,local,浙江卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（浙江）语文高考真题\2008年高考语文试卷（浙江）（解析卷）.pdf,2008-2024_by_province,
2008,语文,山东,local,山东卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（山东）语文高考真题\2008年高考语文试卷（山东）（空白卷）.pdf,2008-2024_by_province,
2008,语文,山东,local,山东卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（山东）语文高考真题\2008年高考语文试卷（山东）（解析卷）.pdf,2008-2024_by_province,
2008,语文,河南,common,全国I卷,original,.pdf,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（河南）语文高考真题\2008年高考语文试卷（全国Ⅰ卷）（空白卷）.pdf,2008-2024_by_province,
