地区,年份,高考模式,改革起始年,语数外卷型,综合/选考卷型,缺失科目数
北京,2008,老高考,2020,北京卷,北京卷,0
北京,2009,老高考,2020,北京卷,北京卷,0
北京,2010,老高考,2020,北京卷,北京卷,0
北京,2011,老高考,2020,北京卷,北京卷,0
北京,2012,老高考,2020,北京卷,北京卷,0
北京,2013,老高考,2020,北京卷,北京卷,0
北京,2014,老高考,2020,北京卷,北京卷,0
北京,2015,老高考,2020,北京卷,北京卷,0
北京,2016,老高考,2020,北京卷,北京卷,0
北京,2017,老高考,2020,北京卷,北京卷,0
北京,2018,老高考,2020,北京卷,北京卷,0
北京,2019,老高考,2020,北京卷,北京卷,0
北京,2020,新高考,2020,北京卷,北京卷,0
北京,2021,新高考,2020,北京卷,北京卷,0
北京,2022,新高考,2020,北京卷,北京卷,1
北京,2023,新高考,2020,北京卷,北京卷,0
北京,2024,新高考,2020,北京卷,北京卷,0
北京,2025,新高考,2020,北京卷,北京卷,0
北京,2026,新高考,2020,未检出,北京卷,8
天津,2008,老高考,2020,天津卷,天津卷,0
天津,2009,老高考,2020,天津卷,天津卷,0
天津,2010,老高考,2020,天津卷,天津卷,0
天津,2011,老高考,2020,天津卷,天津卷,0
天津,2012,老高考,2020,天津卷,天津卷,0
天津,2013,老高考,2020,天津卷,天津卷,0
天津,2014,老高考,2020,天津卷,天津卷,0
天津,2015,老高考,2020,天津卷,天津卷,0
天津,2016,老高考,2020,天津卷,天津卷,0
天津,2017,老高考,2020,天津卷,天津卷,0
天津,2018,老高考,2020,天津卷,天津卷,0
天津,2019,老高考,2020,天津卷,天津卷,0
天津,2020,新高考,2020,天津卷,天津卷,0
天津,2021,新高考,2020,天津卷,天津卷,0
天津,2022,新高考,2020,天津卷,天津卷,0
天津,2023,新高考,2020,天津卷,天津卷,0
天津,2024,新高考,2020,天津卷,未检出,8
天津,2025,新高考,2020,天津卷,天津卷,6
天津,2026,新高考,2020,天津卷,天津卷,7
河北,2008,老高考,2021,全国Ⅰ卷 / 河北卷,全国Ⅰ卷 / 河北卷,0
河北,2009,老高考,2021,全国Ⅰ卷 / 河北卷,全国Ⅰ卷 / 河北卷,0
河北,2010,老高考,2021,全国Ⅰ卷 / 新课标全国Ⅰ卷,全国Ⅰ卷 / 河北卷,0
河北,2011,老高考,2021,全国Ⅱ卷 / 河北卷,河北卷,0
河北,2012,老高考,2021,河北卷,河北卷,0
河北,2013,老高考,2021,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
河北,2014,老高考,2021,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
河北,2015,老高考,2021,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
河北,2016,老高考,2021,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
河北,2017,老高考,2021,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
河北,2018,老高考,2021,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
河北,2019,老高考,2021,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
河北,2020,老高考,2021,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
河北,2021,新高考,2021,新高考全国Ⅰ卷,河北卷,0
河北,2022,新高考,2021,新高考全国Ⅰ卷,河北卷,1
河北,2023,新高考,2021,新高考全国Ⅰ卷,河北卷,0
河北,2024,新高考,2021,新高考全国Ⅰ卷,河北卷,3
河北,2025,新高考,2021,新高考全国Ⅰ卷,河北卷,0
河北,2026,新高考,2021,新高考全国Ⅰ卷,河北卷,1
山西,2008,老高考,2025,全国Ⅰ卷 / 山西卷,全国Ⅰ卷 / 山西卷,0
山西,2009,老高考,2025,全国Ⅰ卷 / 山西卷,全国Ⅰ卷 / 山西卷,0
山西,2010,老高考,2025,全国Ⅰ卷 / 新课标全国Ⅰ卷,全国Ⅰ卷 / 山西卷,0
山西,2011,老高考,2025,全国Ⅱ卷 / 山西卷,山西卷,0
山西,2012,老高考,2025,山西卷,山西卷,0
山西,2013,老高考,2025,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
山西,2014,老高考,2025,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
山西,2015,老高考,2025,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
山西,2016,老高考,2025,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
山西,2017,老高考,2025,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
山西,2018,老高考,2025,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
山西,2019,老高考,2025,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
山西,2020,老高考,2025,新课标全国Ⅰ卷,新课标全国Ⅰ卷,0
山西,2021,老高考,2025,全国乙卷 / 新课标全国Ⅰ卷,全国乙卷,0
山西,2022,老高考,2025,全国乙卷,全国乙卷,0
山西,2023,老高考,2025,新课标全国Ⅱ卷,山西卷,0
山西,2024,老高考,2025,新课标全国Ⅱ卷,山西卷,0
