年份,科目,地区或卷区,卷型,PDF,Markdown,听力MP3,OCR方式
2016,语文,全国,新课标全国Ⅲ卷,papers/2016/语文/全国/新课标全国Ⅲ卷/2016_语文_新课标全国Ⅲ卷_原卷.pdf,papers/2016/语文/全国/新课标全国Ⅲ卷/2016_语文_新课标全国Ⅲ卷_OCR与考点.md,,rapidocr
2016,数学,四川,四川卷,papers/2016/数学/四川/四川卷/2016_数学_四川卷_原卷.pdf,papers/2016/数学/四川/四川卷/2016_数学_四川卷_OCR与考点.md,,pypdf
2016,英语,四川,四川卷,papers/2016/英语/四川/四川卷/2016_英语_四川卷_原卷.pdf,papers/2016/英语/四川/四川卷/2016_英语_四川卷_OCR与考点.md,papers/2016/英语/四川/四川卷/2016_英语_四川卷_听力.mp3,pypdf
2016,物理,四川,四川理综,papers/2016/物理/四川/四川理综/2016_物理_四川理综_原卷.pdf,papers/2016/物理/四川/四川理综/2016_物理_四川理综_OCR与考点.md,,pypdf
2016,化学,四川,四川理综,papers/2016/化学/四川/四川理综/2016_化学_四川理综_原卷.pdf,papers/2016/化学/四川/四川理综/2016_化学_四川理综_OCR与考点.md,,pypdf
2016,生物,四川,四川理综,papers/2016/生物/四川/四川理综/2016_生物_四川理综_原卷.pdf,papers/2016/生物/四川/四川理综/2016_生物_四川理综_OCR与考点.md,,pypdf
2017,语文,全国,新课标全国Ⅲ卷,papers/2017/语文/全国/新课标全国Ⅲ卷/2017_语文_新课标全国Ⅲ卷_原卷.pdf,papers/2017/语文/全国/新课标全国Ⅲ卷/2017_语文_新课标全国Ⅲ卷_OCR与考点.md,,rapidocr
2017,数学,全国,新课标全国Ⅲ卷,papers/2017/数学/全国/新课标全国Ⅲ卷/2017_数学_新课标全国Ⅲ卷_原卷.pdf,papers/2017/数学/全国/新课标全国Ⅲ卷/2017_数学_新课标全国Ⅲ卷_OCR与考点.md,,pypdf
2017,英语,全国,新课标全国Ⅲ卷,papers/2017/英语/全国/新课标全国Ⅲ卷/2017_英语_新课标全国Ⅲ卷_原卷.pdf,papers/2017/英语/全国/新课标全国Ⅲ卷/2017_英语_新课标全国Ⅲ卷_OCR与考点.md,papers/2017/英语/全国/新课标全国Ⅲ卷/2017_英语_新课标全国Ⅲ卷_听力.mp3,pypdf
2017,物理,全国,新课标全国Ⅲ卷理综,papers/2017/物理/全国/新课标全国Ⅲ卷理综/2017_物理_新课标全国Ⅲ卷理综_原卷.pdf,papers/2017/物理/全国/新课标全国Ⅲ卷理综/2017_物理_新课标全国Ⅲ卷理综_OCR与考点.md,,pypdf
2017,化学,全国,新课标全国Ⅲ卷理综,papers/2017/化学/全国/新课标全国Ⅲ卷理综/2017_化学_新课标全国Ⅲ卷理综_原卷.pdf,papers/2017/化学/全国/新课标全国Ⅲ卷理综/2017_化学_新课标全国Ⅲ卷理综_OCR与考点.md,,pypdf
2017,生物,全国,新课标全国Ⅲ卷理综,papers/2017/生物/全国/新课标全国Ⅲ卷理综/2017_生物_新课标全国Ⅲ卷理综_原卷.pdf,papers/2017/生物/全国/新课标全国Ⅲ卷理综/2017_生物_新课标全国Ⅲ卷理综_OCR与考点.md,,pypdf
