地区,总格数,已覆盖,仅解析,缺失,缺失率%
上海,171,140,0,31,18.13
云南,171,170,0,1,0.58
内蒙古,171,169,0,2,1.17
北京,171,162,0,9,5.26
吉林,171,170,0,1,0.58
四川,171,169,0,2,1.17
天津,171,150,0,21,12.28
宁夏,171,157,0,14,8.19
安徽,171,131,0,40,23.39
山东,171,170,0,1,0.58
山西,171,170,0,1,0.58
广东,171,170,0,1,0.58
广西,171,158,0,13,7.6
新疆,171,159,0,12,7.02
江苏,171,166,0,5,2.92
江西,171,153,1,17,9.94
河北,171,166,0,5,2.92
河南,171,170,0,1,0.58
浙江,171,165,0,6,3.51
海南,171,156,0,15,8.77
湖北,171,156,0,15,8.77
湖南,171,171,0,0,0.0
甘肃,171,162,0,9,5.26
福建,171,128,0,43,25.15
西藏,171,159,0,12,7.02
贵州,171,158,0,13,7.6
辽宁,171,150,0,21,12.28
重庆,171,124,0,47,27.49
陕西,171,169,0,2,1.17
青海,171,169,0,2,1.17
黑龙江,171,170,0,1,0.58
