年份,科目,总格数,已覆盖,仅解析,缺失,缺失率%
2008,化学,31,26,0,5,16.13
2008,历史,31,26,0,5,16.13
2008,地理,31,26,0,5,16.13
2008,政治,31,26,0,5,16.13
2008,数学,31,27,0,4,12.9
2008,物理,31,26,0,5,16.13
2008,生物,31,26,0,5,16.13
2008,英语,31,25,0,6,19.35
2008,语文,31,25,0,6,19.35
2009,化学,31,26,0,5,16.13
2009,历史,31,26,0,5,16.13
2009,地理,31,26,0,5,16.13
2009,政治,31,26,0,5,16.13
2009,数学,31,27,0,4,12.9
2009,物理,31,26,0,5,16.13
2009,生物,31,26,0,5,16.13
2009,英语,31,25,0,6,19.35
2009,语文,31,25,0,6,19.35
2010,化学,31,28,0,3,9.68
2010,历史,31,28,0,3,9.68
2010,地理,31,28,0,3,9.68
2010,政治,31,28,0,3,9.68
2010,数学,31,27,0,4,12.9
2010,物理,31,28,0,3,9.68
2010,生物,31,28,0,3,9.68
2010,英语,31,25,0,6,19.35
2010,语文,31,25,0,6,19.35
2011,化学,31,28,0,3,9.68
2011,历史,31,27,0,4,12.9
2011,地理,31,28,0,3,9.68
2011,政治,31,28,0,3,9.68
2011,数学,31,27,0,4,12.9
2011,物理,31,28,0,3,9.68
2011,生物,31,28,0,3,9.68
2011,英语,31,25,0,6,19.35
2011,语文,31,25,0,6,19.35
2012,化学,31,31,0,0,0.0
2012,历史,31,31,0,0,0.0
2012,地理,31,31,0,0,0.0
2012,政治,31,31,0,0,0.0
2012,数学,31,31,0,0,0.0
2012,物理,31,31,0,0,0.0
2012,生物,31,31,0,0,0.0
2012,英语,31,30,0,1,3.23
2012,语文,31,31,0,0,0.0
2013,化学,31,31,0,0,0.0
2013,历史,31,31,0,0,0.0
2013,地理,31,31,0,0,0.0
2013,政治,31,31,0,0,0.0
2013,数学,31,31,0,0,0.0
2013,物理,31,31,0,0,0.0
2013,生物,31,31,0,0,0.0
2013,英语,31,31,0,0,0.0
2013,语文,31,31,0,0,0.0
2014,化学,31,31,0,0,0.0
2014,历史,31,31,0,0,0.0
2014,地理,31,31,0,0,0.0
2014,政治,31,31,0,0,0.0
2014,数学,31,31,0,0,0.0
2014,物理,31,31,0,0,0.0
2014,生物,31,31,0,0,0.0
2014,英语,31,31,0,0,0.0
2014,语文,31,31,0,0,0.0
2015,化学,31,31,0,0,0.0
2015,历史,31,31,0,0,0.0
2015,地理,31,31,0,0,0.0
2015,政治,31,30,0,1,3.23
2015,数学,31,31,0,0,0.0
2015,物理,31,31,0,0,0.0
2015,生物,31,31,0,0,0.0
2015,英语,31,31,0,0,0.0
2015,语文,31,31,0,0,0.0
2016,化学,31,31,0,0,0.0
2016,历史,31,31,0,0,0.0
2016,地理,31,31,0,0,0.0
2016,政治,31,31,0,0,0.0
2016,数学,31,31,0,0,0.0
2016,物理,31,31,0,0,0.0
2016,生物,31,31,0,0,0.0
2016,英语,31,31,0,0,0.0
2016,语文,31,31,0,0,0.0
2017,化学,31,31,0,0,0.0
2017,历史,31,31,0,0,0.0
2017,地理,31,31,0,0,0.0
2017,政治,31,31,0,0,0.0
2017,数学,31,31,0,0,0.0
2017,物理,31,31,0,0,0.0
2017,生物,31,31,0,0,0.0
2017,英语,31,31,0,0,0.0
2017,语文,31,31,0,0,0.0
2018,化学,31,31,0,0,0.0
2018,历史,31,30,0,1,3.23
2018,地理,31,30,0,1,3.23
2018,政治,31,30,0,1,3.23
2018,数学,31,31,0,0,0.0
2018,物理,31,31,0,0,0.0
2018,生物,31,31,0,0,0.0
2018,英语,31,31,0,0,0.0
2018,语文,31,31,0,0,0.0
2019,化学,31,31,0,0,0.0
2019,历史,31,31,0,0,0.0
2019,地理,31,31,0,0,0.0
2019,政治,31,30,0,1,3.23
2019,数学,31,31,0,0,0.0
2019,物理,31,31,0,0,0.0
2019,生物,31,31,0,0,0.0
2019,英语,31,31,0,0,0.0
2019,语文,31,31,0,0,0.0
2020,化学,31,31,0,0,0.0
2020,历史,31,30,0,1,3.23
2020,地理,31,31,0,0,0.0
2020,政治,31,30,0,1,3.23
2020,数学,31,31,0,0,0.0
2020,物理,31,31,0,0,0.0
2020,生物,31,31,0,0,0.0
2020,英语,31,31,0,0,0.0
2020,语文,31,31,0,0,0.0
2021,化学,31,31,0,0,0.0
2021,历史,31,30,0,1,3.23
2021,地理,31,31,0,0,0.0
2021,政治,31,29,0,2,6.45
2021,数学,31,31,0,0,0.0
2021,物理,31,31,0,0,0.0
2021,生物,31,31,0,0,0.0
2021,英语,31,31,0,0,0.0
2021,语文,31,31,0,0,0.0
2022,化学,31,31,0,0,0.0
2022,历史,31,30,0,1,3.23
2022,地理,31,29,0,2,6.45
2022,政治,31,29,0,2,6.45
2022,数学,31,31,0,0,0.0
2022,物理,31,31,0,0,0.0
2022,生物,31,31,0,0,0.0
2022,英语,31,31,0,0,0.0
2022,语文,31,31,0,0,0.0
2023,化学,31,31,0,0,0.0
2023,历史,31,30,0,1,3.23
2023,地理,31,30,0,1,3.23
2023,政治,31,30,0,1,3.23
2023,数学,31,31,0,0,0.0
2023,物理,31,31,0,0,0.0
2023,生物,31,30,0,1,3.23
2023,英语,31,31,0,0,0.0
2023,语文,31,31,0,0,0.0
2024,化学,31,24,0,7,22.58
2024,历史,31,24,0,7,22.58
2024,地理,31,24,0,7,22.58
2024,政治,31,15,0,16,51.61
2024,数学,31,31,0,0,0.0
2024,物理,31,27,0,4,12.9
2024,生物,31,23,0,8,25.81
2024,英语,31,29,0,2,6.45
2024,语文,31,29,0,2,6.45
2025,化学,31,25,0,6,19.35
2025,历史,31,21,0,10,32.26
2025,地理,31,23,1,7,22.58
2025,政治,31,21,0,10,32.26
2025,数学,31,31,0,0,0.0
2025,物理,31,27,0,4,12.9
2025,生物,31,21,0,9,29.03
2025,英语,31,29,0,2,6.45
2025,语文,31,31,0,0,0.0
2026,化学,31,18,0,13,41.94
2026,历史,31,19,0,12,38.71
2026,地理,31,16,0,15,48.39
2026,政治,31,17,0,14,45.16
2026,数学,31,29,0,2,6.45
2026,物理,31,23,0,8,25.81
2026,生物,31,20,0,11,35.48
2026,英语,31,28,0,3,9.68
2026,语文,31,28,0,3,9.68
