年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2017,语文,上海,新高考,2017,地方/区域卷,local,上海卷,pdf_only,[打开试卷](../../papers/2017/语文/上海/上海卷/2017_语文_上海卷_原卷.pdf),,,,
2017,语文,浙江,新高考,2017,地方/区域卷,local,浙江卷,pdf_only,[打开试卷](../../papers/2017/语文/浙江/浙江卷/2017_语文_浙江卷_原卷.pdf),,,,
2017,数学,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2017/数学/上海/上海卷/2017_数学_上海卷_原卷.pdf),[打开Markdown](../../papers/2017/数学/上海/上海卷/2017_数学_上海卷_OCR与考点.md),,pypdf,4
2017,数学,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2017/数学/浙江/浙江卷/2017_数学_浙江卷_原卷.pdf),[打开Markdown](../../papers/2017/数学/浙江/浙江卷/2017_数学_浙江卷_OCR与考点.md),,pypdf,4
2017,英语,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2017/英语/上海/上海卷/2017_英语_上海卷_原卷.pdf),[打开Markdown](../../papers/2017/英语/上海/上海卷/2017_英语_上海卷_OCR与考点.md),[打开听力](../../papers/2017/英语/上海/上海卷/2017_英语_上海卷_听力.mp3),pypdf,14
2017,英语,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2017/英语/浙江/浙江卷/2017_英语_浙江卷_原卷.pdf),[打开Markdown](../../papers/2017/英语/浙江/浙江卷/2017_英语_浙江卷_OCR与考点.md),[打开听力](../../papers/2017/英语/浙江/浙江卷/2017_英语_浙江卷_听力.mp3),pypdf,11
2017,物理,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2017/物理/上海/上海卷/2017_物理_上海卷_原卷.pdf),[打开Markdown](../../papers/2017/物理/上海/上海卷/2017_物理_上海卷_OCR与考点.md),,pypdf,10
2017,物理,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2017/物理/浙江/浙江卷/2017_物理_浙江卷_原卷.pdf),[打开Markdown](../../papers/2017/物理/浙江/浙江卷/2017_物理_浙江卷_OCR与考点.md),,pypdf,13
2017,化学,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2017/化学/上海/上海卷/2017_化学_上海卷_原卷.pdf),[打开Markdown](../../papers/2017/化学/上海/上海卷/2017_化学_上海卷_OCR与考点.md),,pypdf,6
2017,化学,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2017/化学/浙江/浙江卷/2017_化学_浙江卷_原卷.pdf),[打开Markdown](../../papers/2017/化学/浙江/浙江卷/2017_化学_浙江卷_OCR与考点.md),,pypdf,11
