年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2008,语文,北京,老高考,2020,地方/区域卷,local,北京卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（北京）语文高考真题\2008年高考语文试卷（北京）（空白卷）.pdf,papers/2008/语文/北京/北京卷/2008_语文_北京_北京卷_原卷.pdf,2
2008,语文,天津,老高考,2020,地方/区域卷,local,天津卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2023·（天津）语文高考真题\2008年高考语文试卷（天津）（空白卷） .pdf,papers/2008/语文/天津/天津卷/2008_语文_天津_天津卷_原卷.pdf,2
2008,语文,河北,老高考,2021,全国卷,common,全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（河北）语文高考真题\2008年高考语文试卷（全国Ⅰ卷）（空白卷）.pdf,papers/2008/语文/全国/全国I卷/2008_语文_河北_全国I卷_原卷.pdf,2
2008,语文,山西,老高考,2025,全国卷,common,全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（山西）语文高考真题\2008年高考语文试卷（全国Ⅰ卷）（空白卷）.pdf,papers/2008/语文/全国/全国I卷/2008_语文_山西_全国I卷_原卷.pdf,2
2008,语文,内蒙古,老高考,2025,全国卷,common,全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（内蒙古）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,papers/2008/语文/全国/全国II卷/2008_语文_内蒙古_全国II卷_原卷.pdf,2
2008,语文,辽宁,老高考,2021,,missing,,missing,,,0
2008,语文,吉林,老高考,2024,全国卷,common,全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（吉林）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,papers/2008/语文/全国/全国II卷/2008_语文_吉林_全国II卷_原卷.pdf,2
2008,语文,黑龙江,老高考,2024,全国卷,common,全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（黑龙江）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,papers/2008/语文/全国/全国II卷/2008_语文_黑龙江_全国II卷_原卷.pdf,2
2008,语文,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2023·（上海）语文高考真题\2008年高考语文试卷（上海）（秋考）（空白卷）.pdf,papers/2008/语文/上海/上海卷/2008_语文_上海_上海卷_原卷.pdf,2
2008,语文,江苏,老高考,2021,地方/区域卷,local,江苏卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（江苏）语文高考真题\2008年高考语文试卷（江苏）（空白卷）.pdf,papers/2008/语文/江苏/江苏卷/2008_语文_江苏_江苏卷_原卷.pdf,2
