年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2008,语文,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（广东）语文高考真题\2008年高考语文试卷（广东）（空白卷）.pdf,papers/2008/语文/广东/广东卷/2008_语文_广东_广东卷_原卷.pdf,2
2008,数学,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（广东）数学高考真题\2008年高考数学试卷（文）（广东）（空白卷）.pdf,papers/2008/数学/广东/广东卷/2008_数学_广东_广东卷_原卷.pdf,4
2008,英语,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（广东）英语高考真题\2008年高考英语试卷（广东）（空白卷）.pdf,papers/2008/英语/广东/广东卷/2008_英语_广东_广东卷_原卷.pdf,2
2008,物理,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（广东）物理高考真题\2008年高考物理试卷（广东）（空白卷）.pdf,papers/2008/物理/广东/广东卷/2008_物理_广东_广东卷_原卷.pdf,2
2008,化学,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考化学真题\版本2：化学（按省份分类）2008-2024\2008-2024·（广东）化学高考真题\2008年高考化学试卷（广东）（空白卷）.pdf,papers/2008/化学/广东/广东卷/2008_化学_广东_广东卷_原卷.pdf,2
2008,生物,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考生物真题\版本2：生物（按省份分类）2008-2024\2008-2024·（广东）生物高考真题\2008年高考生物试卷（广东）（空白卷）.pdf,papers/2008/生物/广东/广东卷/2008_生物_广东_广东卷_原卷.pdf,2
2008,政治,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考政治真题\版本2：政治（按省份分类）2008-2024\2008-2024·（广东）政治高考真题\2008年高考政治试卷（广东）（空白卷）.pdf,papers/2008/政治/广东/广东卷/2008_政治_广东_广东卷_原卷.pdf,2
2008,历史,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考历史真题\版本2：历史（按省份分类）2008-2024\2008-2024·（广东）历史高考真题\2008年高考历史试卷（广东）（空白卷）.pdf,papers/2008/历史/广东/广东卷/2008_历史_广东_广东卷_原卷.pdf,2
2008,地理,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考地理真题\版本2：地理（按省份分类）2008-2024\2008-2024·（广东）地理高考真题\2008年高考地理试卷（广东）（空白卷）.pdf,papers/2008/地理/广东/广东卷/2008_地理_广东_广东卷_原卷.pdf,2
2009,语文,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（广东）语文高考真题\2009年高考语文试卷（广东）（空白卷）.pdf,papers/2009/语文/广东/广东卷/2009_语文_广东_广东卷_原卷.pdf,2
2009,数学,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（广东）数学高考真题\2009年高考数学试卷（文）（广东）（空白卷）.pdf,papers/2009/数学/广东/广东卷/2009_数学_广东_广东卷_原卷.pdf,4
2009,英语,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（广东）英语高考真题\2009年高考英语试卷（广东）（空白卷）.pdf,papers/2009/英语/广东/广东卷/2009_英语_广东_广东卷_原卷.pdf,2
2009,物理,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（广东）物理高考真题\2009年高考物理试卷（广东）（空白卷）.pdf,papers/2009/物理/广东/广东卷/2009_物理_广东_广东卷_原卷.pdf,2
2009,化学,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考化学真题\版本2：化学（按省份分类）2008-2024\2008-2024·（广东）化学高考真题\2009年高考化学试卷（广东）（空白卷）.pdf,papers/2009/化学/广东/广东卷/2009_化学_广东_广东卷_原卷.pdf,2
2009,生物,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考生物真题\版本2：生物（按省份分类）2008-2024\2008-2024·（广东）生物高考真题\2009年高考生物试卷（广东）（空白卷）.pdf,papers/2009/生物/广东/广东卷/2009_生物_广东_广东卷_原卷.pdf,2
2009,政治,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考政治真题\版本2：政治（按省份分类）2008-2024\2008-2024·（广东）政治高考真题\2009年高考政治试卷（广东）（空白卷）.pdf,papers/2009/政治/广东/广东卷/2009_政治_广东_广东卷_原卷.pdf,2
2009,历史,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考历史真题\版本2：历史（按省份分类）2008-2024\2008-2024·（广东）历史高考真题\2009年高考历史试卷（广东）（空白卷）.pdf,papers/2009/历史/广东/广东卷/2009_历史_广东_广东卷_原卷.pdf,2
2009,地理,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考地理真题\版本2：地理（按省份分类）2008-2024\2008-2024·（广东）地理高考真题\2009年高考地理试卷（广东）（空白卷）.pdf,papers/2009/地理/广东/广东卷/2009_地理_广东_广东卷_原卷.pdf,2
2010,语文,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（广东）语文高考真题\2010年高考语文试卷（广东）（空白卷）.pdf,papers/2010/语文/广东/广东卷/2010_语文_广东_广东卷_原卷.pdf,2
2010,数学,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（广东）数学高考真题\2010年高考数学试卷（文）（广东）（空白卷）.pdf,papers/2010/数学/广东/广东卷/2010_数学_广东_广东卷_原卷.pdf,4
2010,英语,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（广东）英语高考真题\2010年高考英语试卷（广东）（空白卷）.pdf,papers/2010/英语/广东/广东卷/2010_英语_广东_广东卷_原卷.pdf,2
2010,物理,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（广东）物理高考真题\2010年高考物理试卷（广东）（空白卷）.pdf,papers/2010/物理/广东/广东卷/2010_物理_广东_广东卷_原卷.pdf,2
2010,化学,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考化学真题\版本2：化学（按省份分类）2008-2024\2008-2024·（广东）化学高考真题\2010年高考化学试卷（广东）（空白卷）.pdf,papers/2010/化学/广东/广东卷/2010_化学_广东_广东卷_原卷.pdf,2
2010,生物,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考生物真题\版本2：生物（按省份分类）2008-2024\2008-2024·（广东）生物高考真题\2010年高考生物试卷（广东）（空白卷）.pdf,papers/2010/生物/广东/广东卷/2010_生物_广东_广东卷_原卷.pdf,2
2010,政治,广东,老高考,2021,地方/区域卷,local,广东卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考政治真题\版本2：政治（按省份分类）2008-2024\2008-2024·（广东）政治高考真题\2010年高考政治试卷（广东）（空白卷）.pdf,papers/2010/政治/广东/广东卷/2010_政治_广东_广东卷_原卷.pdf,2
