年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2008,语文,吉林,老高考,2024,全国卷,common,全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（吉林）语文高考真题\2008年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,papers/2008/语文/全国/全国II卷/2008_语文_吉林_全国II卷_原卷.pdf,2
2008,数学,吉林,老高考,2024,全国卷,common,吉林卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（吉林）数学高考真题\2008年高考数学试卷（文）（全国卷Ⅱ）（空白卷）.pdf,papers/2008/数学/全国/吉林卷/2008_数学_吉林_吉林卷_原卷.pdf,4
2008,英语,吉林,老高考,2024,全国卷,common,全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（吉林）英语高考真题\2008年高考英语试卷（全国Ⅱ卷）听力音频.mp3,papers/2008/英语/全国/全国II卷/2008_英语_吉林_全国II卷_原卷.mp3,3
2008,物理,吉林,老高考,2024,全国卷,common,吉林卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（吉林）物理高考真题\2008年高考物理试卷（全国卷Ⅱ）（空白卷）.pdf,papers/2008/物理/全国/吉林卷/2008_物理_吉林_吉林卷_原卷.pdf,2
2008,化学,吉林,老高考,2024,全国卷,common,吉林卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考化学真题\版本2：化学（按省份分类）2008-2024\2008-2024·（吉林）化学高考真题\2008年高考化学试卷（全国卷Ⅱ）（空白卷）.pdf,papers/2008/化学/全国/吉林卷/2008_化学_吉林_吉林卷_原卷.pdf,2
2008,生物,吉林,老高考,2024,全国卷,common,吉林卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考生物真题\版本2：生物（按省份分类）2008-2024\2008-2024·（吉林）生物高考真题\2008年高考生物试卷（全国卷Ⅱ）（空白卷）.pdf,papers/2008/生物/全国/吉林卷/2008_生物_吉林_吉林卷_原卷.pdf,2
2008,政治,吉林,老高考,2024,全国卷,common,全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考政治真题\版本2：政治（按省份分类）2008-2024\2008-2024·（吉林）政治高考真题\2008年高考政治试卷（全国Ⅱ卷）（空白卷）.pdf,papers/2008/政治/全国/全国II卷/2008_政治_吉林_全国II卷_原卷.pdf,2
2008,历史,吉林,老高考,2024,全国卷,common,吉林卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考历史真题\版本2：历史（按省份分类）2008-2024\2008-2024·（吉林）历史高考真题\2008年高考历史试卷（全国卷Ⅱ）（空白卷）.pdf,papers/2008/历史/全国/吉林卷/2008_历史_吉林_吉林卷_原卷.pdf,2
2008,地理,吉林,老高考,2024,全国卷,common,吉林卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考地理真题\版本2：地理（按省份分类）2008-2024\2008-2024·（吉林）地理高考真题\2008年高考地理试卷（全国卷Ⅱ）（空白卷）.pdf,papers/2008/地理/全国/吉林卷/2008_地理_吉林_吉林卷_原卷.pdf,2
2009,语文,吉林,老高考,2024,全国卷,common,全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（吉林）语文高考真题\2009年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,papers/2009/语文/全国/全国II卷/2009_语文_吉林_全国II卷_原卷.pdf,2
