年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2008,语文,宁夏,老高考,2025,全国卷,common,海南卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（宁夏）语文高考真题\2008年高考语文试卷（新课标）（海南宁夏）（空白卷）.pdf,papers/2008/语文/全国/海南卷/2008_语文_宁夏_海南卷_原卷.pdf,2
2008,数学,宁夏,老高考,2025,全国卷,common,海南卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（宁夏）数学高考真题\2008年高考数学试卷（文）（新课标）（海南宁夏）（空白卷）.pdf,papers/2008/数学/全国/海南卷/2008_数学_宁夏_海南卷_原卷.pdf,4
2008,英语,宁夏,老高考,2025,地方/区域卷,local,海南卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（宁夏）英语高考真题\2008年高考英语试卷（宁夏、海南卷）听力音频.mp3,papers/2008/英语/宁夏/海南卷/2008_英语_宁夏_海南卷_原卷.mp3,3
2008,物理,宁夏,老高考,2025,,missing,,missing,,,0
2008,化学,宁夏,老高考,2025,,missing,,missing,,,0
2008,生物,宁夏,老高考,2025,,missing,,missing,,,0
2008,政治,宁夏,老高考,2025,,missing,,missing,,,0
2008,历史,宁夏,老高考,2025,,missing,,missing,,,0
2008,地理,宁夏,老高考,2025,,missing,,missing,,,0
2009,语文,宁夏,老高考,2025,全国卷,common,海南卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（宁夏）语文高考真题\2009年高考语文试卷（新课标）（海南宁夏）（空白卷）.pdf,papers/2009/语文/全国/海南卷/2009_语文_宁夏_海南卷_原卷.pdf,2
2009,数学,宁夏,老高考,2025,全国卷,common,海南卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（宁夏）数学高考真题\2009年高考数学试卷（文）（新课标）（海南宁夏）（空白卷）.pdf,papers/2009/数学/全国/海南卷/2009_数学_宁夏_海南卷_原卷.pdf,4
2009,英语,宁夏,老高考,2025,全国卷,common,全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（宁夏）英语高考真题\2009年高考英语试卷（全国Ⅱ卷）听力音频.mp3,papers/2009/英语/全国/全国II卷/2009_英语_宁夏_全国II卷_原卷.mp3,3
2009,物理,宁夏,老高考,2025,,missing,,missing,,,0
2009,化学,宁夏,老高考,2025,,missing,,missing,,,0
2009,生物,宁夏,老高考,2025,,missing,,missing,,,0
2009,政治,宁夏,老高考,2025,,missing,,missing,,,0
2009,历史,宁夏,老高考,2025,,missing,,missing,,,0
2009,地理,宁夏,老高考,2025,,missing,,missing,,,0
2010,语文,宁夏,老高考,2025,全国卷,common,海南卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（宁夏）语文高考真题\2010年高考语文试卷（新课标）（海南宁夏）（空白卷）.pdf,papers/2010/语文/全国/海南卷/2010_语文_宁夏_海南卷_原卷.pdf,2
2010,数学,宁夏,老高考,2025,全国卷,common,海南卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（宁夏）数学高考真题\2010年高考数学试卷（文）（新课标）（海南宁夏）（空白卷）.pdf,papers/2010/数学/全国/海南卷/2010_数学_宁夏_海南卷_原卷.pdf,4
