年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2008,语文,山东,老高考,2020,地方/区域卷,local,山东卷,pdf_only,[打开试卷](../../papers/2008/语文/山东/山东卷/2008_语文_山东卷_原卷.pdf),,,,
2008,数学,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/数学/山东/山东卷/2008_数学_山东卷_原卷.pdf),[打开Markdown](../../papers/2008/数学/山东/山东卷/2008_数学_山东卷_OCR与考点.md),,pypdf,5
2008,英语,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/英语/山东/山东卷/2008_英语_山东卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/山东/山东卷/2008_英语_山东卷_OCR与考点.md),[打开听力](../../papers/2008/英语/山东/山东卷/2008_英语_山东卷_听力.mp3),pypdf,10
2008,物理,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/物理/山东/山东理综/2008_物理_山东理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/山东/山东理综/2008_物理_山东理综_OCR与考点.md),,pypdf,8
2008,化学,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/化学/山东/山东理综/2008_化学_山东理综_原卷.pdf),[打开Markdown](../../papers/2008/化学/山东/山东理综/2008_化学_山东理综_OCR与考点.md),,pypdf,8
2008,生物,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/生物/山东/山东理综/2008_生物_山东理综_原卷.pdf),[打开Markdown](../../papers/2008/生物/山东/山东理综/2008_生物_山东理综_OCR与考点.md),,pypdf,4
2008,政治,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/政治/山东/山东文综/2008_政治_山东文综_原卷.pdf),[打开Markdown](../../papers/2008/政治/山东/山东文综/2008_政治_山东文综_OCR与考点.md),,pypdf,4
2008,历史,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/历史/山东/山东文综/2008_历史_山东文综_原卷.pdf),[打开Markdown](../../papers/2008/历史/山东/山东文综/2008_历史_山东文综_OCR与考点.md),,pypdf,6
2008,地理,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/地理/山东/山东文综/2008_地理_山东文综_原卷.pdf),[打开Markdown](../../papers/2008/地理/山东/山东文综/2008_地理_山东文综_OCR与考点.md),,pypdf,15
2009,语文,山东,老高考,2020,地方/区域卷,local,山东卷,pdf_only,[打开试卷](../../papers/2009/语文/山东/山东卷/2009_语文_山东卷_原卷.pdf),,,,
2009,数学,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2009/数学/山东/山东卷/2009_数学_山东卷_原卷.pdf),[打开Markdown](../../papers/2009/数学/山东/山东卷/2009_数学_山东卷_OCR与考点.md),,pypdf,4
2009,英语,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2009/英语/山东/山东卷/2009_英语_山东卷_原卷.pdf),[打开Markdown](../../papers/2009/英语/山东/山东卷/2009_英语_山东卷_OCR与考点.md),[打开听力](../../papers/2009/英语/山东/山东卷/2009_英语_山东卷_听力.mp3),pypdf,15
2009,物理,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2009/物理/山东/山东理综/2009_物理_山东理综_原卷.pdf),[打开Markdown](../../papers/2009/物理/山东/山东理综/2009_物理_山东理综_OCR与考点.md),,pypdf,8
2009,化学,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2009/化学/山东/山东理综/2009_化学_山东理综_原卷.pdf),[打开Markdown](../../papers/2009/化学/山东/山东理综/2009_化学_山东理综_OCR与考点.md),,pypdf,4
