年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2008,语文,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2023·（上海）语文高考真题\2008年高考语文试卷（上海）（秋考）（空白卷）.pdf,papers/2008/语文/上海/上海卷/2008_语文_上海_上海卷_原卷.pdf,2
2008,数学,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（上海）数学高考真题\2008年高考数学试卷（文）（上海）（空白卷）.pdf,papers/2008/数学/上海/上海卷/2008_数学_上海_上海卷_原卷.pdf,4
2008,英语,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2023·（上海）英语高考真题\2008年高考英语试卷（上海）（秋考）听力音频.mp3,papers/2008/英语/上海/上海卷/2008_英语_上海_上海卷_原卷.mp3,3
2008,物理,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（上海）物理高考真题\2008年高考物理试卷（上海）（空白卷）.pdf,papers/2008/物理/上海/上海卷/2008_物理_上海_上海卷_原卷.pdf,2
2008,化学,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考化学真题\版本2：化学（按省份分类）2008-2024\2008-2024·（上海）化学高考真题\2008年高考化学试卷（上海）（空白卷）.pdf,papers/2008/化学/上海/上海卷/2008_化学_上海_上海卷_原卷.pdf,2
2008,生物,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考生物真题\版本2：生物（按省份分类）2008-2024\2008-2022·（上海）生物高考真题\2008年高考生物试卷（上海）（空白卷）.pdf,papers/2008/生物/上海/上海卷/2008_生物_上海_上海卷_原卷.pdf,2
2008,政治,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考政治真题\版本2：政治（按省份分类）2008-2024\2008-2017·（上海）政治高考真题\2008年高考政治试卷（上海）（空白卷）.pdf,papers/2008/政治/上海/上海卷/2008_政治_上海_上海卷_原卷.pdf,2
2008,历史,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,"H:\New folder\【新·PDF版】2008-2024·高考历史真题\版本2：历史（按省份分类）2008-2024\2008-2017_2019,2024·（上海）历史高考真题\2008年高考历史试卷（上海）（空白卷）.pdf",papers/2008/历史/上海/上海卷/2008_历史_上海_上海卷_原卷.pdf,2
2008,地理,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,"H:\New folder\【新·PDF版】2008-2024·高考地理真题\版本2：地理（按省份分类）2008-2024\2008-2021,2024·（上海）地理高考真题\2008年高考地理试卷（上海）（空白卷）.pdf",papers/2008/地理/上海/上海卷/2008_地理_上海_上海卷_原卷.pdf,2
2009,语文,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2023·（上海）语文高考真题\2009年高考语文试卷（上海）（秋考）（空白卷）.pdf,papers/2009/语文/上海/上海卷/2009_语文_上海_上海卷_原卷.pdf,2
