年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2008,语文,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（四川）语文高考真题\2008年高考语文试卷（四川）（空白卷）.pdf,papers/2008/语文/四川/四川卷/2008_语文_四川_四川卷_原卷.pdf,2
2008,数学,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（四川）数学高考真题\2008年高考数学试卷（文）（四川）（延考区）（空白卷）.pdf,papers/2008/数学/四川/四川卷/2008_数学_四川_四川卷_原卷.pdf,8
2008,英语,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（四川）英语高考真题\2008年高考英语试卷（四川）（空白卷）.pdf,papers/2008/英语/四川/四川卷/2008_英语_四川_四川卷_原卷.pdf,2
2008,物理,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（四川）物理高考真题\2008年高考物理真题（四川）（空白卷）.pdf,papers/2008/物理/四川/四川卷/2008_物理_四川_四川卷_原卷.pdf,2
2008,化学,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考化学真题\版本2：化学（按省份分类）2008-2024\2008-2024·（四川）化学高考真题\2008年高考化学试卷（四川）（空白卷）.pdf,papers/2008/化学/四川/四川卷/2008_化学_四川_四川卷_原卷.pdf,2
2008,生物,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考生物真题\版本2：生物（按省份分类）2008-2024\2008-2024·（四川）生物高考真题\2008年高考生物试卷（四川）（空白卷）.pdf,papers/2008/生物/四川/四川卷/2008_生物_四川_四川卷_原卷.pdf,2
2008,政治,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考政治真题\版本2：政治（按省份分类）2008-2024\2008-2023·（四川）政治高考真题\2008年高考政治试卷（四川）（空白卷）.pdf,papers/2008/政治/四川/四川卷/2008_政治_四川_四川卷_原卷.pdf,2
2008,历史,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考历史真题\版本2：历史（按省份分类）2008-2024\2008-2024·（四川）历史高考真题\2008年高考历史试卷（四川）（空白卷）.pdf,papers/2008/历史/四川/四川卷/2008_历史_四川_四川卷_原卷.pdf,2
2008,地理,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考地理真题\版本2：地理（按省份分类）2008-2024\2008-2024·（四川）地理高考真题\2008年高考地理试卷（四川）（空白卷）.pdf,papers/2008/地理/四川/四川卷/2008_地理_四川_四川卷_原卷.pdf,2
2009,语文,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（四川）语文高考真题\2009年高考语文试卷（四川）（空白卷）.pdf,papers/2009/语文/四川/四川卷/2009_语文_四川_四川卷_原卷.pdf,2
2009,数学,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（四川）数学高考真题\2009年高考数学试卷（文）（四川）（空白卷）.pdf,papers/2009/数学/四川/四川卷/2009_数学_四川_四川卷_原卷.pdf,4
2009,英语,四川,老高考,2025,地方/区域卷,local,四川卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（四川）英语高考真题\2009年高考英语试卷（四川）（空白卷）.pdf,papers/2009/英语/四川/四川卷/2009_英语_四川_四川卷_原卷.pdf,2
