年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2008,语文,新疆,老高考,,全国卷,common,全国Ⅱ卷,pdf_only,../../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,数学,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2008/数学/全国/新疆卷/2008_数学_新疆卷_原卷.pdf,../../papers/2008/数学/全国/新疆卷/2008_数学_新疆卷_OCR与考点.md,,pypdf,4
2008,英语,新疆,老高考,,全国卷,common,全国Ⅱ卷,done,../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_原卷.pdf,../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_OCR与考点.md,../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_听力.mp3,pypdf,17
2008,物理,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2008/物理/全国/新疆理综/2008_物理_新疆理综_原卷.pdf,../../papers/2008/物理/全国/新疆理综/2008_物理_新疆理综_OCR与考点.md,,pypdf,5
2008,化学,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2008/化学/全国/新疆理综/2008_化学_新疆理综_原卷.pdf,../../papers/2008/化学/全国/新疆理综/2008_化学_新疆理综_OCR与考点.md,,pypdf,5
2008,生物,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2008/生物/全国/新疆理综/2008_生物_新疆理综_原卷.pdf,../../papers/2008/生物/全国/新疆理综/2008_生物_新疆理综_OCR与考点.md,,pypdf,3
2008,政治,新疆,老高考,,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,历史,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2008/历史/全国/新疆文综/2008_历史_新疆文综_原卷.pdf,../../papers/2008/历史/全国/新疆文综/2008_历史_新疆文综_OCR与考点.md,,pypdf,5
2008,地理,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2008/地理/全国/新疆文综/2008_地理_新疆文综_原卷.pdf,../../papers/2008/地理/全国/新疆文综/2008_地理_新疆文综_OCR与考点.md,,pypdf,5
2009,语文,新疆,老高考,,全国卷,common,全国Ⅱ卷,pdf_only,../../papers/2009/语文/全国/全国Ⅱ卷/2009_语文_全国Ⅱ卷_原卷.pdf,,,,
2009,数学,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2009/数学/全国/新疆卷/2009_数学_新疆卷_原卷.pdf,../../papers/2009/数学/全国/新疆卷/2009_数学_新疆卷_OCR与考点.md,,pypdf,4
2009,英语,新疆,老高考,,全国卷,common,全国Ⅱ卷,done,../../papers/2009/英语/全国/全国Ⅱ卷/2009_英语_全国Ⅱ卷_原卷.pdf,../../papers/2009/英语/全国/全国Ⅱ卷/2009_英语_全国Ⅱ卷_OCR与考点.md,../../papers/2009/英语/全国/全国Ⅱ卷/2009_英语_全国Ⅱ卷_听力.mp3,pypdf,16
2009,物理,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2009/物理/全国/新疆理综/2009_物理_新疆理综_原卷.pdf,../../papers/2009/物理/全国/新疆理综/2009_物理_新疆理综_OCR与考点.md,,pypdf,6
2009,化学,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2009/化学/全国/新疆理综/2009_化学_新疆理综_原卷.pdf,../../papers/2009/化学/全国/新疆理综/2009_化学_新疆理综_OCR与考点.md,,pypdf,5
2009,生物,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2009/生物/全国/新疆理综/2009_生物_新疆理综_原卷.pdf,../../papers/2009/生物/全国/新疆理综/2009_生物_新疆理综_OCR与考点.md,,pypdf,4
2009,政治,新疆,老高考,,全国卷,common,全国Ⅱ卷,done,../../papers/2009/政治/全国/全国Ⅱ卷文综/2009_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2009/政治/全国/全国Ⅱ卷文综/2009_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2009,历史,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2009/历史/全国/新疆文综/2009_历史_新疆文综_原卷.pdf,../../papers/2009/历史/全国/新疆文综/2009_历史_新疆文综_OCR与考点.md,,pypdf,5
2009,地理,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2009/地理/全国/新疆文综/2009_地理_新疆文综_原卷.pdf,../../papers/2009/地理/全国/新疆文综/2009_地理_新疆文综_OCR与考点.md,,pypdf,6
2010,语文,新疆,老高考,,全国卷,common,全国Ⅱ卷,pdf_only,../../papers/2010/语文/全国/全国Ⅱ卷/2010_语文_全国Ⅱ卷_原卷.pdf,,,,
2010,数学,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2010/数学/全国/新疆卷/2010_数学_新疆卷_原卷.pdf,../../papers/2010/数学/全国/新疆卷/2010_数学_新疆卷_OCR与考点.md,,pypdf,4
2010,英语,新疆,老高考,,全国卷,common,全国Ⅱ卷,done,../../papers/2010/英语/全国/全国Ⅱ卷/2010_英语_全国Ⅱ卷_原卷.pdf,../../papers/2010/英语/全国/全国Ⅱ卷/2010_英语_全国Ⅱ卷_OCR与考点.md,../../papers/2010/英语/全国/全国Ⅱ卷/2010_英语_全国Ⅱ卷_听力.mp3,pypdf,16
2010,物理,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2010/物理/全国/新疆理综/2010_物理_新疆理综_原卷.pdf,../../papers/2010/物理/全国/新疆理综/2010_物理_新疆理综_OCR与考点.md,,pypdf,6
2010,化学,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2010/化学/全国/新疆理综/2010_化学_新疆理综_原卷.pdf,../../papers/2010/化学/全国/新疆理综/2010_化学_新疆理综_OCR与考点.md,,pypdf,5
2010,生物,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2010/生物/全国/新疆理综/2010_生物_新疆理综_原卷.pdf,../../papers/2010/生物/全国/新疆理综/2010_生物_新疆理综_OCR与考点.md,,pypdf,4
2010,政治,新疆,老高考,,全国卷,common,全国Ⅱ卷,done,../../papers/2010/政治/全国/全国Ⅱ卷文综/2010_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2010/政治/全国/全国Ⅱ卷文综/2010_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,7
2010,历史,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2010/历史/全国/新疆文综/2010_历史_新疆文综_原卷.pdf,../../papers/2010/历史/全国/新疆文综/2010_历史_新疆文综_OCR与考点.md,,pypdf,7
2010,地理,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2010/地理/全国/新疆文综/2010_地理_新疆文综_原卷.pdf,../../papers/2010/地理/全国/新疆文综/2010_地理_新疆文综_OCR与考点.md,,pypdf,5
2011,语文,新疆,老高考,,全国卷,common,新疆卷,pdf_only,../../papers/2011/语文/全国/新疆卷/2011_语文_新疆卷_原卷.pdf,,,,
2011,数学,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2011/数学/全国/新疆卷/2011_数学_新疆卷_原卷.pdf,../../papers/2011/数学/全国/新疆卷/2011_数学_新疆卷_OCR与考点.md,,pypdf,6
2011,英语,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2011/英语/全国/新疆卷/2011_英语_新疆卷_原卷.pdf,../../papers/2011/英语/全国/新疆卷/2011_英语_新疆卷_OCR与考点.md,../../papers/2011/英语/全国/新疆卷/2011_英语_新疆卷_听力.mp3,pypdf,14
2011,物理,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2011/物理/全国/新疆理综/2011_物理_新疆理综_原卷.pdf,../../papers/2011/物理/全国/新疆理综/2011_物理_新疆理综_OCR与考点.md,,pypdf,7
2011,化学,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2011/化学/全国/新疆理综/2011_化学_新疆理综_原卷.pdf,../../papers/2011/化学/全国/新疆理综/2011_化学_新疆理综_OCR与考点.md,,pypdf,6
2011,生物,新疆,老高考,,全国卷,common,新疆卷,done,../../papers/2011/生物/全国/新疆理综/2011_生物_新疆理综_原卷.pdf,../../papers/2011/生物/全国/新疆理综/2011_生物_新疆理综_OCR与考点.md,,pypdf,5
