年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2008,生物,北京,老高考,2020,地方/区域卷,local,北京卷,done,../../papers/2008/生物/北京/北京理综/2008_生物_北京理综_原卷.pdf,../../papers/2008/生物/北京/北京理综/2008_生物_北京理综_OCR与考点.md,,pypdf,3
2008,生物,天津,老高考,2020,地方/区域卷,local,天津卷,done,../../papers/2008/生物/天津/天津理综/2008_生物_天津理综_原卷.pdf,../../papers/2008/生物/天津/天津理综/2008_生物_天津理综_OCR与考点.md,,pypdf,4
2008,生物,河北,老高考,2021,全国卷,common,河北卷,done,../../papers/2008/生物/全国/河北理综/2008_生物_河北理综_原卷.pdf,../../papers/2008/生物/全国/河北理综/2008_生物_河北理综_OCR与考点.md,,pypdf,4
2008,生物,山西,老高考,2025,全国卷,common,山西卷,done,../../papers/2008/生物/全国/山西理综/2008_生物_山西理综_原卷.pdf,../../papers/2008/生物/全国/山西理综/2008_生物_山西理综_OCR与考点.md,,pypdf,4
2008,生物,内蒙古,老高考,2025,全国卷,common,内蒙古卷,done,../../papers/2008/生物/全国/内蒙古理综/2008_生物_内蒙古理综_原卷.pdf,../../papers/2008/生物/全国/内蒙古理综/2008_生物_内蒙古理综_OCR与考点.md,,pypdf,3
2008,生物,辽宁,老高考,2021,,missing,,missing,,,,,
2008,生物,吉林,老高考,2024,全国卷,common,吉林卷,done,../../papers/2008/生物/全国/吉林理综/2008_生物_吉林理综_原卷.pdf,../../papers/2008/生物/全国/吉林理综/2008_生物_吉林理综_OCR与考点.md,,pypdf,3
2008,生物,黑龙江,老高考,2024,全国卷,common,黑龙江卷,done,../../papers/2008/生物/全国/黑龙江理综/2008_生物_黑龙江理综_原卷.pdf,../../papers/2008/生物/全国/黑龙江理综/2008_生物_黑龙江理综_OCR与考点.md,,pypdf,3
2008,生物,上海,老高考,2017,地方/区域卷,local,上海卷,done,../../papers/2008/生物/上海/上海理综/2008_生物_上海理综_原卷.pdf,../../papers/2008/生物/上海/上海理综/2008_生物_上海理综_OCR与考点.md,,pypdf,11
2008,生物,江苏,老高考,2021,地方/区域卷,local,江苏卷,done,../../papers/2008/生物/江苏/江苏理综/2008_生物_江苏理综_原卷.pdf,../../papers/2008/生物/江苏/江苏理综/2008_生物_江苏理综_OCR与考点.md,,pypdf,13
2008,生物,浙江,老高考,2017,地方/区域卷,local,浙江卷,done,../../papers/2008/生物/浙江/浙江理综/2008_生物_浙江理综_原卷.pdf,../../papers/2008/生物/浙江/浙江理综/2008_生物_浙江理综_OCR与考点.md,,pypdf,3
2008,生物,安徽,老高考,2024,,missing,,missing,,,,,
2008,生物,福建,老高考,2021,,missing,,missing,,,,,
2008,生物,江西,老高考,2024,全国卷,common,江西卷,done,../../papers/2008/生物/全国/江西理综/2008_生物_江西理综_原卷.pdf,../../papers/2008/生物/全国/江西理综/2008_生物_江西理综_OCR与考点.md,,pypdf,4
2008,生物,山东,老高考,2020,地方/区域卷,local,山东卷,done,../../papers/2008/生物/山东/山东理综/2008_生物_山东理综_原卷.pdf,../../papers/2008/生物/山东/山东理综/2008_生物_山东理综_OCR与考点.md,,pypdf,4
2008,生物,河南,老高考,2025,全国卷,common,河南卷,done,../../papers/2008/生物/全国/河南理综/2008_生物_河南理综_原卷.pdf,../../papers/2008/生物/全国/河南理综/2008_生物_河南理综_OCR与考点.md,,pypdf,4
2008,生物,湖北,老高考,2021,全国卷,common,湖北卷,done,../../papers/2008/生物/全国/湖北理综/2008_生物_湖北理综_原卷.pdf,../../papers/2008/生物/全国/湖北理综/2008_生物_湖北理综_OCR与考点.md,,pypdf,4
2008,生物,湖南,老高考,2021,全国卷,common,湖南卷,done,../../papers/2008/生物/全国/湖南理综/2008_生物_湖南理综_原卷.pdf,../../papers/2008/生物/全国/湖南理综/2008_生物_湖南理综_OCR与考点.md,,pypdf,4
2008,生物,广东,老高考,2021,地方/区域卷,local,广东卷,done,../../papers/2008/生物/广东/广东理综/2008_生物_广东理综_原卷.pdf,../../papers/2008/生物/广东/广东理综/2008_生物_广东理综_OCR与考点.md,,pypdf,5
2008,生物,广西,老高考,2024,全国卷,common,广西卷,done,../../papers/2008/生物/全国/广西理综/2008_生物_广西理综_原卷.pdf,../../papers/2008/生物/全国/广西理综/2008_生物_广西理综_OCR与考点.md,,pypdf,4
2008,生物,海南,老高考,2020,地方/区域卷,local,海南卷,done,../../papers/2008/生物/海南/海南理综/2008_生物_海南理综_原卷.pdf,../../papers/2008/生物/海南/海南理综/2008_生物_海南理综_OCR与考点.md,,pypdf,7
2008,生物,重庆,老高考,2021,,missing,,missing,,,,,
2008,生物,四川,老高考,2025,地方/区域卷,local,四川卷,done,../../papers/2008/生物/四川/四川理综/2008_生物_四川理综_原卷.pdf,../../papers/2008/生物/四川/四川理综/2008_生物_四川理综_OCR与考点.md,,pypdf,3
2008,生物,贵州,老高考,2024,全国卷,common,贵州卷,done,../../papers/2008/生物/全国/贵州理综/2008_生物_贵州理综_原卷.pdf,../../papers/2008/生物/全国/贵州理综/2008_生物_贵州理综_OCR与考点.md,,pypdf,3
2008,生物,云南,老高考,2025,全国卷,common,云南卷,done,../../papers/2008/生物/全国/云南理综/2008_生物_云南理综_原卷.pdf,../../papers/2008/生物/全国/云南理综/2008_生物_云南理综_OCR与考点.md,,pypdf,3
2008,生物,西藏,老高考,,全国卷,common,西藏卷,done,../../papers/2008/生物/全国/西藏理综/2008_生物_西藏理综_原卷.pdf,../../papers/2008/生物/全国/西藏理综/2008_生物_西藏理综_OCR与考点.md,,pypdf,3
2008,生物,陕西,老高考,2025,全国卷,common,陕西卷,done,../../papers/2008/生物/全国/陕西理综/2008_生物_陕西理综_原卷.pdf,../../papers/2008/生物/全国/陕西理综/2008_生物_陕西理综_OCR与考点.md,,pypdf,3
