年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2008,化学,北京,老高考,2020,地方/区域卷,local,北京卷,done,../../papers/2008/化学/北京/北京理综/2008_化学_北京理综_原卷.pdf,../../papers/2008/化学/北京/北京理综/2008_化学_北京理综_OCR与考点.md,,pypdf,5
2008,化学,天津,老高考,2020,地方/区域卷,local,天津卷,done,../../papers/2008/化学/天津/天津理综/2008_化学_天津理综_原卷.pdf,../../papers/2008/化学/天津/天津理综/2008_化学_天津理综_OCR与考点.md,,pypdf,4
2008,化学,河北,老高考,2021,全国卷,common,河北卷,done,../../papers/2008/化学/全国/河北理综/2008_化学_河北理综_原卷.pdf,../../papers/2008/化学/全国/河北理综/2008_化学_河北理综_OCR与考点.md,,pypdf,4
2008,化学,山西,老高考,2025,全国卷,common,山西卷,done,../../papers/2008/化学/全国/山西理综/2008_化学_山西理综_原卷.pdf,../../papers/2008/化学/全国/山西理综/2008_化学_山西理综_OCR与考点.md,,pypdf,4
2008,化学,内蒙古,老高考,2025,全国卷,common,内蒙古卷,done,../../papers/2008/化学/全国/内蒙古理综/2008_化学_内蒙古理综_原卷.pdf,../../papers/2008/化学/全国/内蒙古理综/2008_化学_内蒙古理综_OCR与考点.md,,pypdf,5
2008,化学,辽宁,老高考,2021,,missing,,missing,../../../..,../../../..,../../../..,,
2008,化学,吉林,老高考,2024,全国卷,common,吉林卷,done,../../papers/2008/化学/全国/吉林理综/2008_化学_吉林理综_原卷.pdf,../../papers/2008/化学/全国/吉林理综/2008_化学_吉林理综_OCR与考点.md,,pypdf,5
2008,化学,黑龙江,老高考,2024,全国卷,common,黑龙江卷,done,../../papers/2008/化学/全国/黑龙江理综/2008_化学_黑龙江理综_原卷.pdf,../../papers/2008/化学/全国/黑龙江理综/2008_化学_黑龙江理综_OCR与考点.md,,pypdf,5
2008,化学,上海,老高考,2017,地方/区域卷,local,上海卷,done,../../papers/2008/化学/上海/上海理综/2008_化学_上海理综_原卷.pdf,../../papers/2008/化学/上海/上海理综/2008_化学_上海理综_OCR与考点.md,,pypdf,9
2008,化学,江苏,老高考,2021,地方/区域卷,local,江苏卷,done,../../papers/2008/化学/江苏/江苏理综/2008_化学_江苏理综_原卷.pdf,../../papers/2008/化学/江苏/江苏理综/2008_化学_江苏理综_OCR与考点.md,,pypdf,10
2008,化学,浙江,老高考,2017,地方/区域卷,local,浙江卷,done,../../papers/2008/化学/浙江/浙江理综/2008_化学_浙江理综_原卷.pdf,../../papers/2008/化学/浙江/浙江理综/2008_化学_浙江理综_OCR与考点.md,,pypdf,3
2008,化学,安徽,老高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2008,化学,福建,老高考,2021,,missing,,missing,../../../..,../../../..,../../../..,,
2008,化学,江西,老高考,2024,全国卷,common,江西卷,done,../../papers/2008/化学/全国/江西理综/2008_化学_江西理综_原卷.pdf,../../papers/2008/化学/全国/江西理综/2008_化学_江西理综_OCR与考点.md,,pypdf,4
2008,化学,山东,老高考,2020,地方/区域卷,local,山东卷,done,../../papers/2008/化学/山东/山东理综/2008_化学_山东理综_原卷.pdf,../../papers/2008/化学/山东/山东理综/2008_化学_山东理综_OCR与考点.md,,pypdf,8
2008,化学,河南,老高考,2025,全国卷,common,河南卷,done,../../papers/2008/化学/全国/河南理综/2008_化学_河南理综_原卷.pdf,../../papers/2008/化学/全国/河南理综/2008_化学_河南理综_OCR与考点.md,,pypdf,4
2008,化学,湖北,老高考,2021,全国卷,common,湖北卷,done,../../papers/2008/化学/全国/湖北理综/2008_化学_湖北理综_原卷.pdf,../../papers/2008/化学/全国/湖北理综/2008_化学_湖北理综_OCR与考点.md,,pypdf,4
2008,化学,湖南,老高考,2021,全国卷,common,湖南卷,done,../../papers/2008/化学/全国/湖南理综/2008_化学_湖南理综_原卷.pdf,../../papers/2008/化学/全国/湖南理综/2008_化学_湖南理综_OCR与考点.md,,pypdf,4
2008,化学,广东,老高考,2021,地方/区域卷,local,广东卷,done,../../papers/2008/化学/广东/广东理综/2008_化学_广东理综_原卷.pdf,../../papers/2008/化学/广东/广东理综/2008_化学_广东理综_OCR与考点.md,,pypdf,12
2008,化学,广西,老高考,2024,全国卷,common,广西卷,done,../../papers/2008/化学/全国/广西理综/2008_化学_广西理综_原卷.pdf,../../papers/2008/化学/全国/广西理综/2008_化学_广西理综_OCR与考点.md,,pypdf,4
