年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2008,英语,北京,老高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2008/英语/北京/北京卷/2008_英语_北京卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/北京/北京卷/2008_英语_北京卷_OCR与考点.md),[打开听力](../../papers/2008/英语/北京/北京卷/2008_英语_北京卷_听力.mp3),pypdf,11
2008,英语,天津,老高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2008/英语/天津/天津卷/2008_英语_天津卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/天津/天津卷/2008_英语_天津卷_OCR与考点.md),[打开听力](../../papers/2008/英语/天津/天津卷/2008_英语_天津卷_听力.mp3),pypdf,11
2008,英语,河北,老高考,2021,全国卷,common,全国Ⅰ卷,done,[打开试卷](../../papers/2008/英语/全国/全国Ⅰ卷/2008_英语_全国Ⅰ卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/全国/全国Ⅰ卷/2008_英语_全国Ⅰ卷_OCR与考点.md),[打开听力](../../papers/2008/英语/全国/全国Ⅰ卷/2008_英语_全国Ⅰ卷_听力.mp3),pypdf,15
2008,英语,山西,老高考,2025,全国卷,common,全国Ⅰ卷,done,[打开试卷](../../papers/2008/英语/全国/全国Ⅰ卷/2008_英语_全国Ⅰ卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/全国/全国Ⅰ卷/2008_英语_全国Ⅰ卷_OCR与考点.md),[打开听力](../../papers/2008/英语/全国/全国Ⅰ卷/2008_英语_全国Ⅰ卷_听力.mp3),pypdf,15
2008,英语,内蒙古,老高考,2025,全国卷,common,全国Ⅱ卷,done,[打开试卷](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_OCR与考点.md),[打开听力](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_听力.mp3),pypdf,17
2008,英语,辽宁,老高考,2021,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2008,英语,吉林,老高考,2024,全国卷,common,全国Ⅱ卷,done,[打开试卷](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_OCR与考点.md),[打开听力](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_听力.mp3),pypdf,17
2008,英语,黑龙江,老高考,2024,全国卷,common,全国Ⅱ卷,done,[打开试卷](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_OCR与考点.md),[打开听力](../../papers/2008/英语/全国/全国Ⅱ卷/2008_英语_全国Ⅱ卷_听力.mp3),pypdf,17
2008,英语,上海,老高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2008/英语/上海/上海卷/2008_英语_上海卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/上海/上海卷/2008_英语_上海卷_OCR与考点.md),[打开听力](../../papers/2008/英语/上海/上海卷/2008_英语_上海卷_听力.mp3),pypdf,12
2008,英语,江苏,老高考,2021,地方/区域卷,local,江苏卷,done,[打开试卷](../../papers/2008/英语/江苏/江苏卷/2008_英语_江苏卷_原卷.pdf),[打开Markdown](../../papers/2008/英语/江苏/江苏卷/2008_英语_江苏卷_OCR与考点.md),[打开听力](../../papers/2008/英语/江苏/江苏卷/2008_英语_江苏卷_听力.mp3),pypdf,14
