年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2008,物理,北京,老高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2008/物理/北京/北京理综/2008_物理_北京理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/北京/北京理综/2008_物理_北京理综_OCR与考点.md),,pypdf,7
2008,物理,天津,老高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2008/物理/天津/天津理综/2008_物理_天津理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/天津/天津理综/2008_物理_天津理综_OCR与考点.md),,pypdf,5
2008,物理,河北,老高考,2021,全国卷,common,河北卷,done,[打开试卷](../../papers/2008/物理/全国/河北理综/2008_物理_河北理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/河北理综/2008_物理_河北理综_OCR与考点.md),,pypdf,5
2008,物理,山西,老高考,2025,全国卷,common,山西卷,done,[打开试卷](../../papers/2008/物理/全国/山西理综/2008_物理_山西理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/山西理综/2008_物理_山西理综_OCR与考点.md),,pypdf,5
2008,物理,内蒙古,老高考,2025,全国卷,common,内蒙古卷,done,[打开试卷](../../papers/2008/物理/全国/内蒙古理综/2008_物理_内蒙古理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/内蒙古理综/2008_物理_内蒙古理综_OCR与考点.md),,pypdf,5
2008,物理,辽宁,老高考,2021,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2008,物理,吉林,老高考,2024,全国卷,common,吉林卷,done,[打开试卷](../../papers/2008/物理/全国/吉林理综/2008_物理_吉林理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/吉林理综/2008_物理_吉林理综_OCR与考点.md),,pypdf,5
2008,物理,黑龙江,老高考,2024,全国卷,common,黑龙江卷,done,[打开试卷](../../papers/2008/物理/全国/黑龙江理综/2008_物理_黑龙江理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/黑龙江理综/2008_物理_黑龙江理综_OCR与考点.md),,pypdf,5
2008,物理,上海,老高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2008/物理/上海/上海理综/2008_物理_上海理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/上海/上海理综/2008_物理_上海理综_OCR与考点.md),,pypdf,12
2008,物理,江苏,老高考,2021,地方/区域卷,local,江苏卷,done,[打开试卷](../../papers/2008/物理/江苏/江苏理综/2008_物理_江苏理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/江苏/江苏理综/2008_物理_江苏理综_OCR与考点.md),,pypdf,8
2008,物理,浙江,老高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2008/物理/浙江/浙江理综/2008_物理_浙江理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/浙江/浙江理综/2008_物理_浙江理综_OCR与考点.md),,pypdf,5
2008,物理,安徽,老高考,2024,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2008,物理,福建,老高考,2021,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2008,物理,江西,老高考,2024,全国卷,common,江西卷,done,[打开试卷](../../papers/2008/物理/全国/江西理综/2008_物理_江西理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/江西理综/2008_物理_江西理综_OCR与考点.md),,pypdf,5
2008,物理,山东,老高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2008/物理/山东/山东理综/2008_物理_山东理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/山东/山东理综/2008_物理_山东理综_OCR与考点.md),,pypdf,8
2008,物理,河南,老高考,2025,全国卷,common,河南卷,done,[打开试卷](../../papers/2008/物理/全国/河南理综/2008_物理_河南理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/河南理综/2008_物理_河南理综_OCR与考点.md),,pypdf,5
2008,物理,湖北,老高考,2021,全国卷,common,湖北卷,done,[打开试卷](../../papers/2008/物理/全国/湖北理综/2008_物理_湖北理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/湖北理综/2008_物理_湖北理综_OCR与考点.md),,pypdf,5
2008,物理,湖南,老高考,2021,全国卷,common,湖南卷,done,[打开试卷](../../papers/2008/物理/全国/湖南理综/2008_物理_湖南理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/湖南理综/2008_物理_湖南理综_OCR与考点.md),,pypdf,5
2008,物理,广东,老高考,2021,地方/区域卷,local,广东卷,done,[打开试卷](../../papers/2008/物理/广东/广东理综/2008_物理_广东理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/广东/广东理综/2008_物理_广东理综_OCR与考点.md),,pypdf,8
2008,物理,广西,老高考,2024,全国卷,common,广西卷,done,[打开试卷](../../papers/2008/物理/全国/广西理综/2008_物理_广西理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/广西理综/2008_物理_广西理综_OCR与考点.md),,pypdf,5
2008,物理,海南,老高考,2020,地方/区域卷,local,海南卷,done,[打开试卷](../../papers/2008/物理/海南/海南理综/2008_物理_海南理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/海南/海南理综/2008_物理_海南理综_OCR与考点.md),,pypdf,6
2008,物理,重庆,老高考,2021,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2008,物理,四川,老高考,2025,地方/区域卷,local,四川卷,done,[打开试卷](../../papers/2008/物理/四川/四川理综/2008_物理_四川理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/四川/四川理综/2008_物理_四川理综_OCR与考点.md),,pypdf,4
2008,物理,贵州,老高考,2024,全国卷,common,贵州卷,done,[打开试卷](../../papers/2008/物理/全国/贵州理综/2008_物理_贵州理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/贵州理综/2008_物理_贵州理综_OCR与考点.md),,pypdf,5
2008,物理,云南,老高考,2025,全国卷,common,云南卷,done,[打开试卷](../../papers/2008/物理/全国/云南理综/2008_物理_云南理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/云南理综/2008_物理_云南理综_OCR与考点.md),,pypdf,5
2008,物理,西藏,老高考,,全国卷,common,西藏卷,done,[打开试卷](../../papers/2008/物理/全国/西藏理综/2008_物理_西藏理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/西藏理综/2008_物理_西藏理综_OCR与考点.md),,pypdf,5
2008,物理,陕西,老高考,2025,全国卷,common,陕西卷,done,[打开试卷](../../papers/2008/物理/全国/陕西理综/2008_物理_陕西理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/陕西理综/2008_物理_陕西理综_OCR与考点.md),,pypdf,5
2008,物理,甘肃,老高考,2024,全国卷,common,甘肃卷,done,[打开试卷](../../papers/2008/物理/全国/甘肃理综/2008_物理_甘肃理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/甘肃理综/2008_物理_甘肃理综_OCR与考点.md),,pypdf,5
2008,物理,青海,老高考,2025,全国卷,common,青海卷,done,[打开试卷](../../papers/2008/物理/全国/青海理综/2008_物理_青海理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/青海理综/2008_物理_青海理综_OCR与考点.md),,pypdf,5
2008,物理,宁夏,老高考,2025,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2008,物理,新疆,老高考,,全国卷,common,新疆卷,done,[打开试卷](../../papers/2008/物理/全国/新疆理综/2008_物理_新疆理综_原卷.pdf),[打开Markdown](../../papers/2008/物理/全国/新疆理综/2008_物理_新疆理综_OCR与考点.md),,pypdf,5
2009,物理,北京,老高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2009/物理/北京/北京理综/2009_物理_北京理综_原卷.pdf),[打开Markdown](../../papers/2009/物理/北京/北京理综/2009_物理_北京理综_OCR与考点.md),,pypdf,7
2009,物理,天津,老高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2009/物理/天津/天津理综/2009_物理_天津理综_原卷.pdf),[打开Markdown](../../papers/2009/物理/天津/天津理综/2009_物理_天津理综_OCR与考点.md),,pypdf,5
2009,物理,河北,老高考,2021,全国卷,common,河北卷,done,[打开试卷](../../papers/2009/物理/全国/河北理综/2009_物理_河北理综_原卷.pdf),[打开Markdown](../../papers/2009/物理/全国/河北理综/2009_物理_河北理综_OCR与考点.md),,pypdf,5
2009,物理,山西,老高考,2025,全国卷,common,山西卷,done,[打开试卷](../../papers/2009/物理/全国/山西理综/2009_物理_山西理综_原卷.pdf),[打开Markdown](../../papers/2009/物理/全国/山西理综/2009_物理_山西理综_OCR与考点.md),,pypdf,5
2009,物理,内蒙古,老高考,2025,全国卷,common,内蒙古卷,done,[打开试卷](../../papers/2009/物理/全国/内蒙古理综/2009_物理_内蒙古理综_原卷.pdf),[打开Markdown](../../papers/2009/物理/全国/内蒙古理综/2009_物理_内蒙古理综_OCR与考点.md),,pypdf,6
2009,物理,辽宁,老高考,2021,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2009,物理,吉林,老高考,2024,全国卷,common,吉林卷,done,[打开试卷](../../papers/2009/物理/全国/吉林理综/2009_物理_吉林理综_原卷.pdf),[打开Markdown](../../papers/2009/物理/全国/吉林理综/2009_物理_吉林理综_OCR与考点.md),,pypdf,6
2009,物理,黑龙江,老高考,2024,全国卷,common,黑龙江卷,done,[打开试卷](../../papers/2009/物理/全国/黑龙江理综/2009_物理_黑龙江理综_原卷.pdf),[打开Markdown](../../papers/2009/物理/全国/黑龙江理综/2009_物理_黑龙江理综_OCR与考点.md),,pypdf,6
