年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2008,政治,北京,老高考,2020,地方/区域卷,local,北京卷,done,../../papers/2008/政治/北京/北京文综/2008_政治_北京文综_原卷.pdf,../../papers/2008/政治/北京/北京文综/2008_政治_北京文综_OCR与考点.md,,pypdf,4
2008,政治,天津,老高考,2020,地方/区域卷,local,天津卷,done,../../papers/2008/政治/天津/天津文综/2008_政治_天津文综_原卷.pdf,../../papers/2008/政治/天津/天津文综/2008_政治_天津文综_OCR与考点.md,,pypdf,4
2008,政治,河北,老高考,2021,全国卷,common,全国Ⅰ卷,done,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_OCR与考点.md,,pypdf,5
2008,政治,山西,老高考,2025,全国卷,common,全国Ⅰ卷,done,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_OCR与考点.md,,pypdf,5
2008,政治,内蒙古,老高考,2025,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,辽宁,老高考,2021,,missing,,missing,,,,,
2008,政治,吉林,老高考,2024,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,黑龙江,老高考,2024,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,上海,老高考,2017,地方/区域卷,local,上海卷,done,../../papers/2008/政治/上海/上海文综/2008_政治_上海文综_原卷.pdf,../../papers/2008/政治/上海/上海文综/2008_政治_上海文综_OCR与考点.md,,pypdf,10
2008,政治,江苏,老高考,2021,地方/区域卷,local,江苏卷,done,../../papers/2008/政治/江苏/江苏文综/2008_政治_江苏文综_原卷.pdf,../../papers/2008/政治/江苏/江苏文综/2008_政治_江苏文综_OCR与考点.md,,pypdf,6
2008,政治,浙江,老高考,2017,地方/区域卷,local,浙江卷,done,../../papers/2008/政治/浙江/浙江文综/2008_政治_浙江文综_原卷.pdf,../../papers/2008/政治/浙江/浙江文综/2008_政治_浙江文综_OCR与考点.md,,pypdf,6
2008,政治,安徽,老高考,2024,,missing,,missing,,,,,
2008,政治,福建,老高考,2021,,missing,,missing,,,,,
2008,政治,江西,老高考,2024,全国卷,common,全国Ⅰ卷,done,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_OCR与考点.md,,pypdf,5
2008,政治,山东,老高考,2020,地方/区域卷,local,山东卷,done,../../papers/2008/政治/山东/山东文综/2008_政治_山东文综_原卷.pdf,../../papers/2008/政治/山东/山东文综/2008_政治_山东文综_OCR与考点.md,,pypdf,4
2008,政治,河南,老高考,2025,全国卷,common,全国Ⅰ卷,done,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_OCR与考点.md,,pypdf,5
2008,政治,湖北,老高考,2021,全国卷,common,全国Ⅰ卷,done,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_OCR与考点.md,,pypdf,5
2008,政治,湖南,老高考,2021,全国卷,common,全国Ⅰ卷,done,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_OCR与考点.md,,pypdf,5
2008,政治,广东,老高考,2021,地方/区域卷,local,广东卷,done,../../papers/2008/政治/广东/广东文综/2008_政治_广东文综_原卷.pdf,../../papers/2008/政治/广东/广东文综/2008_政治_广东文综_OCR与考点.md,,pypdf,8
2008,政治,广西,老高考,2024,全国卷,common,全国Ⅰ卷,done,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅰ卷文综/2008_政治_全国Ⅰ卷文综_OCR与考点.md,,pypdf,5
2008,政治,海南,老高考,2020,地方/区域卷,local,海南卷,done,../../papers/2008/政治/海南/海南文综/2008_政治_海南文综_原卷.pdf,../../papers/2008/政治/海南/海南文综/2008_政治_海南文综_OCR与考点.md,,pypdf,5
2008,政治,重庆,老高考,2021,,missing,,missing,,,,,
2008,政治,四川,老高考,2025,地方/区域卷,local,四川卷,done,../../papers/2008/政治/四川/四川文综/2008_政治_四川文综_原卷.pdf,../../papers/2008/政治/四川/四川文综/2008_政治_四川文综_OCR与考点.md,,pypdf,4
2008,政治,贵州,老高考,2024,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,云南,老高考,2025,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,西藏,老高考,,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,陕西,老高考,2025,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,甘肃,老高考,2024,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,青海,老高考,2025,全国卷,common,全国Ⅱ卷,done,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_原卷.pdf,../../papers/2008/政治/全国/全国Ⅱ卷文综/2008_政治_全国Ⅱ卷文综_OCR与考点.md,,pypdf,6
2008,政治,宁夏,老高考,2025,,missing,,missing,,,,,
