年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2025,语文,北京,新高考,2020,地方/区域卷,local,北京卷,done,../../papers/2025/语文/北京/北京卷/2025_语文_北京卷_原卷.pdf,../../papers/2025/语文/北京/北京卷/2025_语文_北京卷_OCR与考点.md,,pypdf,27
2025,语文,天津,新高考,2020,地方/区域卷,local,天津卷,missing,../../../..,../../../..,../../../..,,
2025,语文,河北,新高考,2021,地方/区域卷,local,新高考全国Ⅰ卷,done,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_OCR与考点.md,,pypdf,26
2025,语文,山西,新高考,2025,地方/区域卷,local,新高考全国Ⅱ卷,done,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_OCR与考点.md,,pypdf,
2025,语文,内蒙古,新高考,2025,地方/区域卷,local,新高考全国Ⅱ卷,done,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_OCR与考点.md,,pypdf,
2025,语文,辽宁,新高考,2021,地方/区域卷,local,新高考全国Ⅱ卷,done,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_OCR与考点.md,,pypdf,
2025,语文,吉林,新高考,2024,地方/区域卷,local,新高考全国Ⅱ卷,done,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_OCR与考点.md,,pypdf,
2025,语文,黑龙江,新高考,2024,地方/区域卷,local,新高考全国Ⅱ卷,done,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_OCR与考点.md,,pypdf,
2025,语文,上海,新高考,2017,地方/区域卷,local,上海卷,missing,../../../..,../../../..,../../../..,,
2025,语文,江苏,新高考,2021,地方/区域卷,local,新高考全国Ⅰ卷,done,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_OCR与考点.md,,pypdf,26
2025,语文,浙江,新高考,2017,地方/区域卷,local,新高考全国Ⅰ卷,done,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_OCR与考点.md,,pypdf,26
2025,语文,安徽,新高考,2024,地方/区域卷,local,新高考全国Ⅰ卷,done,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_OCR与考点.md,,pypdf,26
2025,语文,福建,新高考,2021,地方/区域卷,local,新高考全国Ⅰ卷,done,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_OCR与考点.md,,pypdf,26
2025,语文,江西,新高考,2024,地方/区域卷,local,新高考全国Ⅰ卷,done,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_OCR与考点.md,,pypdf,26
2025,语文,山东,新高考,2020,地方/区域卷,local,新高考全国Ⅰ卷,done,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_原卷.pdf,../../papers/2025/语文/全国/新高考全国Ⅰ卷/2025_语文_新高考全国Ⅰ卷_OCR与考点.md,,pypdf,26
