年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2008,语文,北京,老高考,2020,地方/区域卷,local,北京卷,pdf_only,../papers/2008/语文/北京/北京卷/2008_语文_北京卷_原卷.pdf,,,,
2008,语文,天津,老高考,2020,地方/区域卷,local,天津卷,pdf_only,../papers/2008/语文/天津/天津卷/2008_语文_天津卷_原卷.pdf,,,,
2008,语文,河北,老高考,2021,全国卷,common,全国Ⅰ卷,pdf_only,../papers/2008/语文/全国/全国Ⅰ卷/2008_语文_全国Ⅰ卷_原卷.pdf,,,,
2008,语文,山西,老高考,2025,全国卷,common,全国Ⅰ卷,pdf_only,../papers/2008/语文/全国/全国Ⅰ卷/2008_语文_全国Ⅰ卷_原卷.pdf,,,,
2008,语文,内蒙古,老高考,2025,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,辽宁,老高考,2021,,missing,,missing,,,,,
2008,语文,吉林,老高考,2024,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,黑龙江,老高考,2024,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,上海,老高考,2017,地方/区域卷,local,上海卷,pdf_only,../papers/2008/语文/上海/上海卷/2008_语文_上海卷_原卷.pdf,,,,
2008,语文,江苏,老高考,2021,地方/区域卷,local,江苏卷,pdf_only,../papers/2008/语文/江苏/江苏卷/2008_语文_江苏卷_原卷.pdf,,,,
2008,语文,浙江,老高考,2017,地方/区域卷,local,浙江卷,pdf_only,../papers/2008/语文/浙江/浙江卷/2008_语文_浙江卷_原卷.pdf,,,,
2008,语文,安徽,老高考,2024,,missing,,missing,,,,,
2008,语文,福建,老高考,2021,,missing,,missing,,,,,
2008,语文,江西,老高考,2024,,missing,,missing,,,,,
2008,语文,山东,老高考,2020,地方/区域卷,local,山东卷,pdf_only,../papers/2008/语文/山东/山东卷/2008_语文_山东卷_原卷.pdf,,,,
2008,语文,河南,老高考,2025,全国卷,common,全国Ⅰ卷,pdf_only,../papers/2008/语文/全国/全国Ⅰ卷/2008_语文_全国Ⅰ卷_原卷.pdf,,,,
2008,语文,湖北,老高考,2021,,missing,,missing,,,,,
2008,语文,湖南,老高考,2021,地方/区域卷,local,湖南卷,pdf_only,../papers/2008/语文/湖南/湖南卷/2008_语文_湖南卷_原卷.pdf,,,,
2008,语文,广东,老高考,2021,地方/区域卷,local,广东卷,pdf_only,../papers/2008/语文/广东/广东卷/2008_语文_广东卷_原卷.pdf,,,,
2008,语文,广西,老高考,2024,全国卷,common,全国Ⅰ卷,pdf_only,../papers/2008/语文/全国/全国Ⅰ卷/2008_语文_全国Ⅰ卷_原卷.pdf,,,,
2008,语文,海南,老高考,2020,全国卷,common,海南卷,pdf_only,../papers/2008/语文/全国/海南卷/2008_语文_海南卷_原卷.pdf,,,,
2008,语文,重庆,老高考,2021,,missing,,missing,,,,,
2008,语文,四川,老高考,2025,地方/区域卷,local,四川卷,pdf_only,../papers/2008/语文/四川/四川卷/2008_语文_四川卷_原卷.pdf,,,,
2008,语文,贵州,老高考,2024,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,云南,老高考,2025,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,西藏,老高考,,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,陕西,老高考,2025,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,甘肃,老高考,2024,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,青海,老高考,2025,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,语文,宁夏,老高考,2025,全国卷,common,海南卷,pdf_only,../papers/2008/语文/全国/海南卷/2008_语文_海南卷_原卷.pdf,,,,
2008,语文,新疆,老高考,,全国卷,common,全国Ⅱ卷,pdf_only,../papers/2008/语文/全国/全国Ⅱ卷/2008_语文_全国Ⅱ卷_原卷.pdf,,,,
2008,数学,北京,老高考,2020,地方/区域卷,local,北京卷,done,../papers/2008/数学/北京/北京卷/2008_数学_北京卷_原卷.pdf,../papers/2008/数学/北京/北京卷/2008_数学_北京卷_OCR与考点.md,,pypdf,4
2008,数学,天津,老高考,2020,地方/区域卷,local,天津卷,done,../papers/2008/数学/天津/天津卷/2008_数学_天津卷_原卷.pdf,../papers/2008/数学/天津/天津卷/2008_数学_天津卷_OCR与考点.md,,pypdf,6
2008,数学,河北,老高考,2021,全国卷,common,河北卷,done,../papers/2008/数学/全国/河北卷/2008_数学_河北卷_原卷.pdf,../papers/2008/数学/全国/河北卷/2008_数学_河北卷_OCR与考点.md,,pypdf,4
2008,数学,山西,老高考,2025,全国卷,common,山西卷,done,../papers/2008/数学/全国/山西卷/2008_数学_山西卷_原卷.pdf,../papers/2008/数学/全国/山西卷/2008_数学_山西卷_OCR与考点.md,,pypdf,4
